Datum,Warengruppe,Umsatz
2012-07-01,1,210.73892327453
2012-07-02,1,212.039877301835
2012-07-03,1,187.0307261173
2012-07-04,1,223.967007239802
2012-07-05,1,215.821809997404
2012-07-06,1,235.042642935526
2012-07-07,1,147.60386279549
2012-07-08,1,194.9716345141
2012-07-09,1,211.473288075479
2012-07-10,1,207.10935579099
2012-07-11,1,203.321236048201
2012-07-12,1,175.98227098415
2012-07-13,1,227.224331635406
2012-07-14,1,183.692339877978
2012-07-15,1,224.145611659364
2012-07-16,1,178.451299141404
2012-07-17,1,217.928946706294
2012-07-18,1,167.196973463146
2012-07-19,1,236.517225520203
2012-07-20,1,204.229928599712
2012-07-21,1,153.478237731683
2012-07-22,1,209.109617227124
2012-07-23,1,209.988279775171
2012-07-24,1,193.306963963073
2012-07-25,1,204.947821081617
2012-07-26,1,218.823136071263
2012-07-27,1,247.617526197983
2012-07-28,1,157.330918533952
2012-07-29,1,230.870887613315
2012-07-30,1,195.922028218616
2012-07-31,1,219.336575093815
2012-08-01,1,229.423550544807
2012-08-02,1,195.71688844106
2012-08-03,1,243.720134525245
2012-08-04,1,170.745229346092
2012-08-05,1,212.555121394949
2012-08-06,1,180.863236946486
2012-08-07,1,226.170606616679
2012-08-08,1,227.111778264261
2012-08-09,1,199.131049065136
2012-08-10,1,238.490579469744
2012-08-11,1,153.625847618684
2012-08-12,1,225.840343703459
2012-08-13,1,186.242056025213
2012-08-14,1,212.932582960259
2012-08-15,1,252.938827605997
2012-08-16,1,212.916490463099
2012-08-17,1,289.300345764456
2012-08-18,1,145.440710640894
2012-08-19,1,216.930868318328
2012-08-20,1,182.362906412957
2012-08-21,1,188.593217048488
2012-08-22,1,215.667258913272
2012-08-23,1,228.748838958915
2012-08-24,1,266.92353662717
2012-08-25,1,143.63359407603
2012-08-26,1,231.39557658276
2012-08-27,1,199.067997763574
2012-08-28,1,198.518381187119
2012-08-29,1,215.166332015704
2012-08-30,1,209.431919583755
2012-08-31,1,218.801618271885
2012-09-01,1,152.333885073681
2012-09-02,1,209.985050935141
2012-09-03,1,219.023719756557
2012-09-04,1,203.246524485263
2012-09-05,1,212.331945162471
2012-09-06,1,223.410476586416
2012-09-07,1,260.045211863389
2012-09-08,1,154.571247393852
2012-09-09,1,225.797049087228
2012-09-10,1,163.183739803452
2012-09-11,1,171.134156822386
2012-09-12,1,187.944078860537
2012-09-13,1,213.338932647332
2012-09-14,1,230.415402067412
2012-09-15,1,149.931260218281
2012-09-16,1,205.152895323821
2012-09-17,1,202.429401844312
2012-09-18,1,221.770894847652
2012-09-19,1,226.437080301697
2012-09-20,1,165.965927516308
2012-09-21,1,259.644321997004
2012-09-22,1,152.405218697396
2012-09-23,1,212.407766030298
2012-09-24,1,204.428637906995
2012-09-25,1,183.256758319806
2012-09-26,1,249.058794792276
2012-09-27,1,206.425237095094
2012-09-28,1,208.302652607061
2012-09-29,1,131.975831265515
2012-09-30,1,230.691364592128
2012-10-01,1,188.018558404806
2012-10-02,1,273.090654896645
2012-10-03,1,105.781740811538
2012-10-04,1,237.363267011552
2012-10-05,1,211.610622451806
2012-10-06,1,151.473665413654
2012-10-07,1,227.037535104678
2012-10-08,1,154.762362480692
2012-10-09,1,223.502621560077
2012-10-10,1,186.326373198736
2012-10-11,1,194.105269330767
2012-10-12,1,211.228994617845
2012-10-13,1,135.219528934765
2012-10-14,1,199.293695674365
2012-10-15,1,166.645071027286
